2,1419,"Nuevo Mexicali",,,,,"Baja California Norte",,686,5610636,5610630,5610635,,,,
2,1421,"Mexicali Sureste",,,,,"Baja California Norte",,686,8399116,8399111,"8399 91",,,,
2,2225,"Tijuana Sur",,,,,"Baja California Norte",,664,9782491,9782490,9782489,9782488,,,
2,2919,"El águila",,,,,"Baja California Norte",,664,6275308,275393,6274754,6274645,,,
2,3100,"Quintas Del Refugio",,,,,"Baja California Norte",,664,9717907,9717939,9723116,9723217,,,
2,3144,"Del Prado Ii",,,,,"Baja California Norte",,664,9798873,9798874,9798875,9798876,,,
2,3226,"Ensenada",,,,,"Baja California Norte",,646,1820930,1820936,,,,,
2,3400,"Delicias",,,,,"Baja California Norte",,664,6452893,6452753,6452691,6452565,,,
2,3485,"Otay",,,,,"Baja California Norte",,664,6613845,6613530,6613527,6613523,,,
2,4199,"San Luís Río Colorado",,,,,"Sonora",,653,5357654,"535 82 21",5358205,,,,
2,5661,"Lomas De La Presa",,,,,"Baja California Norte",,664,6464691,6452565,,,,,
2,1583,"San Quintín",,,,,"Baja California Norte",,616,1665837,1665838,1658309,,,,
2,3367,"Maneadero",,,,,"Baja California Norte",,646,1549796,1549609,1549351,,,,
2,3368,"Guadalupe Victoria Romo",,,,,"Baja California Norte",,658,5163806,5163698,5163580,,,,
2,5400,"Mar De Cortes",,,,,"Baja California Norte",,686,5771278,5776066,5776022,,,,
2,5675,"Javier Mina",,,,,"Baja California Norte",,616,1664510,1664513,1662898,,,,
2,1028,"Bourloug",,,,,"Sonora",,644,4169001,4169017,4168966,4168955,,,
2,1034,"Hermosillo Norte",,,,,"Sonora",,662,2644745,2644415,2644618,2644674,,,
2,1103,"Periférico Sur",,,,,"Sonora",,662,1100429,,,,,,
2,1667,"Caborca",,,,,"Sonora",,637,3724012,,,,,,
2,2243,"Navojoa",,,,,"Sonora",,642,4211457,4224900,,,,,
2,2899,"Hermosillo Oriente",,,,,"Sonora",,662,1365019,1365018,,,,,
2,3406,"Puerto Peñasco",,,,,"Sonora",,638,1021413,1021414,1201415,,,,
2,3613,"El Seri",,,,,"Sonora",,662,2177702,2177703,2177704,2177705,,,
2,4068,"Agua Prieta",,,,,"Sonora",,633,1217240,1217241,1217242,,,,
2,4158,"Obregon Poniente",,,,,"Sonora",,644,4135157,4135271,4135341,4135362,,,
2,1478,"Magdalena De Kino",,,,,"Sonora",,632,3227228,3227229,,,,,
2,2247,"Lázaro Gutiérrez",,,,,"Sonora",,645,3323567,3326768,3323567,,,,
2,2924,"La Doce",,,,,"Sonora",,662,1581196,1581198,1581196,,,,
2,3678,"Huatabampo",,,,,"Sonora",,647,"426 4734","426 2699","426 1723",,,,
2,1692,"Jose Maria Iglesias",,,,,"Jalisco",,333,36086839,36087013,36087089,36087138,,,
2,2028,"Concepcion Del Valle",,,,,"Jalisco",,331,11982802,11982906,11982905,,,,
2,2999,"Tala Ruiseñores",,,,,"Jalisco",,333,38980803,38980804,38980805,38980806,,,
2,3360,"Toluquilla",,,,,"Jalisco",,333,37976281,37976286,37976298,,,,
2,3402,"Mariano Otero",,,,,"Jalisco",,331,16542243,16542245,,,,,
2,3780,"Atemajac",,,,,"Jalisco",,333,38245542,38230050,38245067,,,,
2,3781,"Independencia",,,,,"Jalisco",,33,36745120,36744736,36744864,,,,
2,5740,"Belisario Dominguez",,,,,"Jalisco",,333,36370991,36371035,36371764,,,,
2,5750,"Miramar",,,,,"Jalisco",,331,10287170,10287171,10287172,10287173,,,
2,5798,"Santa Margarita",,,,,"Jalisco",,333,36855331,36855332,36855333,,,,
2,1162,"Tequila",,,,,"Jalisco",,374,"742 43 94","742 43 95","742 43 96","742 43 97",,,
2,1190,"Ameca Patria",,,,,"Jalisco",,375,7553361,7553362,7553363,7553364,,,
2,1647,"Tala Oeste",,,,,"Jalisco",,384,7337245,7338503,7339500,,,,
2,5669,"Ahualulco De Mercado",,,,,"Jalisco",,386,7526056,7526057,7526058,,,,
2,1024,"Villa De Alvarez",,,,,"Colima",,312,3088186,3088188,3088187,,,,
2,3536,"Manzanillo",,,,,"Colima",,314,1382270,1382274,,,,,
2,3855,"Chapultepec",,,,,"Jalisco",,33,38256603,38256608,38256639,,,,
2,3866,"Arboledas",,,,,"Jalisco",,33,38110846,38110875,38110901,,,,
2,3920,"8 De Julio",,,,,"Jalisco",,33,38112166,38117043,38117044,,,,
2,5732,"Tecoman",,,,,"Colima",,313,3254468,3254471,3254472,,,,
2,1411,"Tuxpan",,,,,"Jalisco",,371,4175580,4175596,4175585,,,,
2,1438,"Acatlan De Juarez",,,,,"Jalisco",,387,7721891,7721315,7721007,7721872,,,
2,1449,"Tamazula De Gordiano",,,,,"Jalisco",,358,4168536,4163106,4163931,4166423,,,
2,1648,"Cocula",,,,,"Jalisco",,377,7734960,7732485,7734582,,,,
2,1716,"Tlajomulco",,,,,"Jalisco",,33,37984838,37984853,37984856,,,,
2,2019,"Autlan De Navarro",,,,,"Jalisco",,317,3826339,3826340,,,,,
2,2059,"Sayula",,,,,"Jalisco",,342,4223224,4223225,4223226,,,,
2,2958,"Armeria",,,,,"Colima",,313,3220812,3222353,3222857,,,,
2,3154,"Bravo",,,,,"Jalisco",,341,4143177,4143098,,,,,
2,4164,"Cihuatlan",,,,,"Jalisco",,315,3554305,3554333,3554403,,,,
2,5603,"Cuauhtémoc",,,,,"Colima",,312,3280989,3280997,3281472,,,,
2,1176,"San  Juan De Los Lagos",,,,,"Jalisco",,395,7252138,7252139,7252140,,,,
