1,54,"San Agustín","Av. Real De San Agustín",314,"Residencial San Agustín","San Pedro Garza García","Nuevo León",66260,18183299000,"Ext5054119","Ext5054126","Ext5054111",,,,"Soriana"
1,55,"Mirador","Indiana Entre Blvd. Ortiz Mena Y Av. Mirador",3300,"Las águilas","Chihuahua","Chihuahua",31237,16144233573,16144233574,16144233578,16144233576,,,,"Soriana"
1,56,"Ejército","Av. Ejército Mexicano Y Estadio",1101,"Tampico","Tampico","Tamaulipas",89137,18332139447,18332138725,18332178881,18332134554,,,,"Soriana"
1,57,"Zapopan","Periférico Norte Y Blvd. B. De San Isidro","221-a","Valle De San Isidro","Zapopan","Jalisco",45130,13333641783,13333641784,13333641785,,,,,"Soriana"
1,58,"Lauro Villar","Av. Lauro Villar Y Acción Cívica",1203,"Las Arboledas","Matamoros","Tamaulipas",87448,18688143584,18688143585,18688143586,,,,,"Soriana"
1,59,"La Puerta","Calle Urano",2620,"Puerta Del Sol","Santa Catarina","Nuevo León",66367,18183299000,"Ext5059119","Ext5059126","Ext5059111",,,,"Soriana"
1,60,"Fresnillo","Av. Plateros Y Paseo Del Mineral (antes Libramiento De Tránsito Pesado)",429,"Barrio Alto","Fresnillo","Zacatecas",99070,14939328642,,,14939328577,,,,"Soriana"
1,61,"Cordilleras","Av. Manuel J. Clouthier Y Av. Patria",888,"Jardines De Guadalupe","Zapopan","Jalisco",45050,13336203282,13336202887,,,,,,"Soriana"
1,62,"Quintana","Prol. Ezequiel Montes",8,"San Pablo Tecnológico","Querétaro","Queretaro",76130,14422178822,14422175826,,14422175826,,,,"Soriana"
1,63,"Santa Cruz","Carretera Monterrey - Reynosa",101,"29 De Julio","Guadalupe","Nuevo León",65196,18183299000,"Ext5063119","Ext5063126","Ext5063111",,,,"Soriana"
1,64,"Carrizo","Belden",7435,"Buena Vista","Nuevo Laredo","Tamaulipas",88120,18677100506,18687100645,,18687100460,,,,"Soriana"
1,65,"Lourdes","Blvd. Antonio Cárdenas Y Luis Echeverría",999,"Lourdes","Saltillo","Coahuila",25090,18444171148,18444172148,,,,,,"Soriana"
1,66,"Estanzuela","Carretera Nacional Y Calle La Estanzuela",7877,"La Estanzuela","Monterrey","Nuevo León",64988,18183299000,"Ext5066119","Ext5066126","Ext5066111",,,,"Soriana"
1,67,"Mante","Calle Vicente Guerrero Y Av. Libertad Ote.",900,"Centro","Cd. Mante","Tamaulipas",89800,18312340165,18312340166,18312340167,18312328150,,,,"Soriana"
1,68,"Acuña","Libramiento José De Las Fuentes Rodríguez Y Libramiento Emilio Mendoza",595,"Fraccionamiento La Amistad","Acuña","Coahuila",26200,18777722062,18777725930,,18777726019,,,,"Soriana"
1,69,"El Paseo","Salvador Nava Esquina Con Rutilio Torres",435,"Fraccionamiento Central","San Luis Potosí","San Luis Potosí",78399,14448187151,14448187159,,14448187199,,,,"Soriana"
1,70,"Porvenir","Av. Manuel J. Cloutier Esq. Con Manuel Gómez Morín",450,"Río Grande","Cd. Juárez","Chihuahua",32574,16566821602,16566821628,,,,,,"Soriana"
1,71,"Río Bravo","Av. Francisco I. Madero Pte. Entre 27 De Febrero Y Ferrocarril",1160,"Del Valle","Río Bravo","Tamaulipas",88950,18999348328,18999348330,18999348331,18999348329,,,,"Soriana"
1,72,"El Palmar","Av. Universidad Y Diagonal Las Palmas Nte.",101,"Paraíso Coatzacoalcos","Coatzacoalcos","Veracruz",96520,19212186452,,,,,,,"Soriana"
1,73,"Boca Del Río","Av. Adolfo Ruiz Cortinez Y Av. Juan Pablo Ii",1350,"Frac. Sutsem","Veracruz","Veracruz",94299,12299226970,12299226971,12299226972,12299226976,,,,"Soriana"
1,74,"Tlaxcala","Carretera Tlaxcala A Ocotlán Y Calle Volcanes",20,"Ocotlán","Tlaxcala","Tlaxcala",90100,12464661080,12464661081,,,,,,"Soriana"
1,75,"Tamatán","Calzada General Luis Caballero Esq. Río Corona",250,"Zozaya","Cd. Victoria","Tamaulipas",87070,18343153561,18343153562,18343153563,18343153567,,,,"Soriana"
1,76,"Aeropuerto","Carretera A Tampico Mante",6905,"Francisco Javier Mina","Tampico","Tamaulipas",89318,18332283912,18332284029,,18332285196,,,,"Soriana"
1,77,"Fuentes Mares","José Fuentes Mares Esq. Independencia",300,"Santa Rosa 10° Sector","Chihuahua","Chihuahua",31050,16144590080,,,,,,,"Soriana"
1,78,"Satélite","Div. Miguel Cervantes Saavedra Y Torres Landa",1701,"La Piscina","León","Guanajuato",37430,14777784241,14777784242,,,,,,"Soriana"
